time,open,high,low,close,tick_volume,spread,real_volume
2026-08-08 06:00:00+00:00,64909.44,65063.77,64903.9,65023.07,2215,1694,0
2026-08-08 07:00:00+00:00,65025.0,65060.6,64958.46,64998.44,2238,1694,0
2026-08-08 08:00:00+00:00,65001.81,65012.11,64966.28,64987.56,1964,1694,0
2026-08-08 09:00:00+00:00,64987.53,65007.68,64950.12,64998.08,1865,1694,0
2026-08-08 10:00:00+00:00,64996.79,64998.56,64937.66,64951.08,1849,1694,0
2026-08-08 11:00:00+00:00,64951.78,65006.9,64935.86,64981.56,1885,1694,0
2026-08-08 12:00:00+00:00,64982.17,65043.96,64979.85,64980.73,1975,1694,0
2026-08-08 13:00:00+00:00,64981.84,65014.12,64980.05,64999.96,1984,1694,0
2026-08-08 14:00:00+00:00,64998.78,65014.37,64947.78,64951.41,1872,1694,0
2026-08-08 15:00:00+00:00,64949.53,65046.42,64913.79,64997.27,2240,1694,0
2026-08-08 16:00:00+00:00,64995.03,65011.98,64986.96,65004.87,1996,1694,0
2026-08-08 17:00:00+00:00,65003.73,65179.74,65003.65,65120.4,2466,1694,0
2026-08-08 18:00:00+00:00,65117.52,65143.47,65046.8,65071.6,2079,1694,0
2026-08-08 19:00:00+00:00,65069.71,65108.07,65027.69,65076.43,2095,1694,0
2026-08-08 20:00:00+00:00,65073.15,65141.69,65065.32,65109.75,2127,1694,0
2026-08-08 21:00:00+00:00,65109.68,65114.22,65015.24,65034.76,2282,1694,0
2026-08-08 22:00:00+00:00,65035.56,65076.93,65006.5,65066.43,2202,1694,0
2026-08-08 23:00:00+00:00,65064.73,65084.87,65048.84,65070.36,1980,1694,0
2026-08-09 00:00:00+00:00,65069.06,65072.74,64987.67,65007.49,2307,1694,0
2026-08-09 01:00:00+00:00,65007.97,65031.98,64936.43,64936.98,2221,1694,0
2026-08-09 02:00:00+00:00,64936.97,64968.02,64928.3,64949.47,2171,1694,0
2026-08-09 03:00:00+00:00,64949.68,64982.49,64947.72,64967.04,1992,1694,0
2026-08-09 04:00:00+00:00,64967.74,64997.71,64840.06,64856.89,1868,1694,0
2026-08-09 05:00:00+00:00,64856.94,64858.28,64767.69,64813.2,2316,1694,0
2026-08-09 06:00:00+00:00,64812.98,64812.98,64719.05,64780.28,1955,1694,0
2026-08-09 07:00:00+00:00,64779.76,64822.85,64776.36,64778.17,1923,1694,0
2026-08-09 08:00:00+00:00,64777.55,64793.7,64763.49,64791.9,2003,1694,0
2026-08-09 09:00:00+00:00,64792.05,64857.95,64790.73,64838.93,2061,1694,0
2026-08-09 10:00:00+00:00,64838.88,64860.95,64816.29,64817.19,2050,1694,0
2026-08-09 11:00:00+00:00,64823.93,64931.95,64779.23,64811.36,2280,1694,0
2026-08-09 12:00:00+00:00,64810.84,64870.3,64798.14,64868.78,1853,1694,0
2026-08-09 13:00:00+00:00,64870.31,64970.83,64868.79,64947.81,2166,1694,0
2026-08-09 14:00:00+00:00,64949.99,64991.73,64937.1,64940.82,2046,1694,0
2026-08-09 15:00:00+00:00,64940.56,64949.42,64906.65,64947.17,1871,1694,0
2026-08-09 16:00:00+00:00,64944.78,65257.0,64944.78,65211.38,2467,1694,0
2026-08-09 17:00:00+00:00,65212.26,65294.88,65141.84,65255.62,2430,1694,0
2026-08-09 18:00:00+00:00,65256.86,65261.17,65201.69,65222.56,2160,1694,0
2026-08-09 19:00:00+00:00,65222.24,65255.61,65171.98,65224.42,2144,1694,0
2026-08-09 20:00:00+00:00,65224.38,65229.71,65188.47,65190.2,1887,1694,0
2026-08-09 21:00:00+00:00,65190.38,65214.58,65181.13,65188.74,1817,1694,0
2026-08-09 22:00:00+00:00,65188.78,65203.23,65168.06,65173.37,2187,1694,0
2026-08-09 23:00:00+00:00,65172.45,65177.59,65065.78,65129.93,2609,1694,0
2026-08-10 00:00:00+00:00,65130.11,65241.43,65112.17,65190.12,2913,1694,0
2026-08-10 01:00:00+00:00,65188.59,65478.68,64964.72,65067.53,4154,1694,0
2026-08-10 02:00:00+00:00,65067.17,65100.48,64831.25,64892.06,3686,1694,0
2026-08-10 03:00:00+00:00,64891.59,65315.35,64815.79,64961.37,5527,1694,0
2026-08-10 04:00:00+00:00,64961.23,65381.85,64886.03,65187.12,5082,1694,0
2026-08-10 05:00:00+00:00,65187.18,65213.74,64895.04,65093.02,4171,1694,0
2026-08-10 06:00:00+00:00,65092.04,65163.33,64898.56,64972.71,3904,1694,0
2026-08-10 07:00:00+00:00,64971.7,65095.8,64913.57,64998.08,3348,1694,0
2026-08-10 08:00:00+00:00,64998.1,65152.39,64970.99,65128.7,3118,1694,0
2026-08-10 09:00:00+00:00,65129.64,65330.26,65119.87,65291.17,3900,1694,0
2026-08-10 10:00:00+00:00,65291.24,65362.86,65189.0,65197.04,3224,1694,0
2026-08-10 11:00:00+00:00,65197.09,65320.56,65181.9,65238.66,2970,1694,0
2026-08-10 12:00:00+00:00,65238.69,65238.69,64947.34,64960.61,3079,1694,0
2026-08-10 13:00:00+00:00,64964.08,65066.21,64960.41,65005.68,2609,1694,0
2026-08-10 14:00:00+00:00,65005.65,65125.63,64971.25,65118.05,2753,1694,0
2026-08-10 15:00:00+00:00,65118.87,65231.96,64840.99,64861.6,3887,1694,0
2026-08-10 16:00:00+00:00,64861.55,64964.38,64507.83,64551.28,6614,1694,0
2026-08-10 17:00:00+00:00,64552.31,64875.29,64529.36,64616.31,7111,1694,0
2026-08-10 18:00:00+00:00,64615.5,64704.61,64193.58,64286.42,7506,1694,0
2026-08-10 19:00:00+00:00,64284.06,64344.33,63820.21,63894.62,6463,1694,0
2026-08-10 20:00:00+00:00,63895.42,64015.01,63820.23,63940.97,4903,1694,0
2026-08-10 21:00:00+00:00,63941.38,64014.06,63803.22,63880.66,4263,1694,0
2026-08-10 22:00:00+00:00,63879.84,64095.98,63876.0,64039.43,3958,1694,0
2026-08-10 23:00:00+00:00,64036.87,64195.6,64012.29,64152.17,3524,1694,0
2026-08-11 00:00:00+00:00,64152.16,64153.23,63974.37,63977.48,4354,1694,0
2026-08-11 01:00:00+00:00,63977.55,64051.83,63930.73,64008.27,3095,1694,0
2026-08-11 02:00:00+00:00,64008.53,64012.91,63911.69,63963.96,2344,1694,0
2026-08-11 03:00:00+00:00,63963.76,64052.0,63886.33,64033.39,3403,1694,0
2026-08-11 04:00:00+00:00,64033.39,64071.44,63947.76,64050.41,3044,1694,0
2026-08-11 05:00:00+00:00,64049.95,64078.84,64022.69,64034.4,2317,1694,0
2026-08-11 06:00:00+00:00,64036.95,64173.07,64034.74,64136.8,2433,1694,0
2026-08-11 07:00:00+00:00,64142.54,64149.58,64015.3,64015.3,2536,1694,0
2026-08-11 08:00:00+00:00,64015.89,64045.45,63948.23,63988.39,2139,1694,0
2026-08-11 09:00:00+00:00,63987.19,64043.66,63846.9,63962.19,2514,1694,0
2026-08-11 10:00:00+00:00,63961.81,64105.52,63901.64,64058.77,2781,1694,0
2026-08-11 11:00:00+00:00,64059.62,64145.41,64036.59,64127.47,2367,1694,0
2026-08-11 12:00:00+00:00,64128.28,64297.25,64115.99,64295.68,2444,1694,0
2026-08-11 13:00:00+00:00,64296.09,64305.32,64191.44,64214.93,2639,1694,0
2026-08-11 14:00:00+00:00,64223.68,64400.75,64215.83,64379.43,2834,1694,0
2026-08-11 15:00:00+00:00,64381.16,64486.98,64284.84,64319.94,3147,1694,0
2026-08-11 16:00:00+00:00,64319.49,64363.01,64041.87,64192.22,6288,1694,0
2026-08-11 17:00:00+00:00,64192.12,64255.73,63705.38,63761.06,7203,1694,0
2026-08-11 18:00:00+00:00,63761.73,63859.67,63438.1,63597.48,8432,1694,0
2026-08-11 19:00:00+00:00,63597.44,63650.03,63447.89,63500.94,5329,1694,0
2026-08-11 20:00:00+00:00,63500.93,63626.0,63450.59,63595.91,3923,1694,0
2026-08-11 21:00:00+00:00,63599.09,63617.73,63240.08,63364.13,3886,1694,0
2026-08-11 22:00:00+00:00,63364.59,63530.66,63225.64,63527.67,3833,1694,0
2026-08-11 23:00:00+00:00,63527.28,63743.74,63527.26,63733.28,4403,1694,0
2026-08-12 00:00:00+00:00,63734.43,63760.97,63609.8,63661.98,3749,1694,0
2026-08-12 01:00:00+00:00,63660.91,63760.61,63615.69,63657.71,3361,1694,0
2026-08-12 02:00:00+00:00,63656.87,63658.64,63538.88,63585.44,2613,1694,0
2026-08-12 03:00:00+00:00,63583.99,63736.83,63526.52,63734.84,3320,1694,0
2026-08-12 04:00:00+00:00,63733.2,63850.63,63682.75,63813.9,3180,1694,0
2026-08-12 05:00:00+00:00,63812.54,63900.45,63722.49,63741.43,3467,1694,0
2026-08-12 06:00:00+00:00,63743.91,63837.94,63701.6,63824.8,2986,1694,0
2026-08-12 07:00:00+00:00,63824.77,63884.03,63726.85,63766.27,2851,1694,0
2026-08-12 08:00:00+00:00,63766.35,63863.96,63719.13,63843.31,2502,1694,0
2026-08-12 09:00:00+00:00,63841.24,63841.24,63596.39,63704.87,3078,1694,0
2026-08-12 10:00:00+00:00,63705.35,63829.46,63629.72,63824.05,2518,1694,0
2026-08-12 11:00:00+00:00,63824.09,63856.42,63762.3,63786.93,2863,1694,0
2026-08-12 12:00:00+00:00,63786.88,64098.45,63754.27,64096.49,3840,1694,0
2026-08-12 13:00:00+00:00,64096.71,64209.23,64054.28,64130.75,3494,1694,0
2026-08-12 14:00:00+00:00,64129.21,64241.4,64101.57,64231.44,3023,1694,0
2026-08-12 15:00:00+00:00,64231.05,64467.78,63967.29,64112.98,7137,1694,0
2026-08-12 16:00:00+00:00,64112.99,64150.9,63828.69,63829.76,8868,1694,0
2026-08-12 17:00:00+00:00,63829.03,63918.27,63353.84,63358.16,9932,1694,0
2026-08-12 18:00:00+00:00,63358.17,63563.48,63307.99,63435.67,7654,1694,0
2026-08-12 19:00:00+00:00,63435.67,63571.39,63357.72,63483.02,5185,1694,0
2026-08-12 20:00:00+00:00,63482.82,63547.35,63406.51,63464.8,3873,1694,0
2026-08-12 21:00:00+00:00,63464.79,63515.65,63364.95,63375.86,3087,1694,0
2026-08-12 22:00:00+00:00,63374.91,63453.94,63302.11,63414.54,3486,1694,0
2026-08-12 23:00:00+00:00,63413.84,63591.82,63412.16,63591.48,3326,1694,0
2026-08-13 00:00:00+00:00,63591.88,63648.33,63416.01,63462.71,4019,1694,0
2026-08-13 01:00:00+00:00,63462.74,63528.69,63358.68,63423.25,4015,1694,0
2026-08-13 02:00:00+00:00,63424.98,63479.54,63368.44,63475.28,3296,1694,0
2026-08-13 03:00:00+00:00,63475.24,63705.82,63453.0,63550.06,3823,1694,0
2026-08-13 04:00:00+00:00,63549.68,63624.68,63370.0,63447.66,3624,1694,0
2026-08-13 05:00:00+00:00,63446.86,63573.72,63366.22,63540.99,3262,1694,0
2026-08-13 06:00:00+00:00,63540.98,63681.5,63497.94,63639.6,2920,1694,0
2026-08-13 07:00:00+00:00,63640.21,63767.85,63583.01,63686.03,2804,1694,0
2026-08-13 08:00:00+00:00,63685.62,64003.67,63661.97,63864.38,3548,1694,0
2026-08-13 09:00:00+00:00,63866.48,63931.91,63749.71,63931.91,3044,1694,0
2026-08-13 10:00:00+00:00,63932.33,63937.98,63845.57,63857.79,2442,1694,0
2026-08-13 11:00:00+00:00,63857.84,63905.2,63732.0,63761.62,2460,1694,0
2026-08-13 12:00:00+00:00,63759.02,63778.42,63575.08,63771.95,2772,1694,0
2026-08-13 13:00:00+00:00,63771.1,63812.18,63573.14,63645.25,2575,1694,0
